,Product Links
0,https://www.flipkart.com/xiaomi-12-pro-5g-couture-blue-256-gb/p/itm4e017bacc4e75?pid=MOBGDZ895FVSKXZU&lid=LSTMOBGDZ895FVSKXZU5OTXWL&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_7q42e46uqIfH5CN67TeM185NISgzZDSswG01NSxTOlN4KNj4kfgHljPuPeaAmhvJYmDXiwa9ZFT5Jo7gmFVzLw%3D%3D&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
1,https://www.flipkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
2,https://www.flipkart.com/poco-c31-shadow-gray-32-gb/p/itmffefb8bb085e3?pid=MOBG73E7VZH7XHJY&lid=LSTMOBG73E7VZH7XHJYYXFO9I&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBG73E7VZH7XHJY.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
3,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
4,https://www.flipkart.com/motorola-g62-5g-midnight-gray-128-gb/p/itm37da299ffb2d0?pid=MOBGEDT5ZZMZQZSJ&lid=LSTMOBGEDT5ZZMZQZSJFXDZSQ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGEDT5ZZMZQZSJ.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
5,https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4WEHAX7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGDRHVZN29ZJF4.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
6,https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5PVEEZV&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGDRHVHNBBBBP5.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
7,https://www.flipkart.com/poco-x4-pro-5g-laser-blue-128-gb/p/itmeb324bd268ef4?pid=MOBGCGZZDHZ2HJU8&lid=LSTMOBGCGZZDHZ2HJU8FKN1IY&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGCGZZDHZ2HJU8.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
8,https://www.flipkart.com/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
9,https://www.flipkart.com/redmi-note-11-se-cosmic-white-64-gb/p/itm894dab106a9b1?pid=MOBGHBKHJFCAHP7C&lid=LSTMOBGHBKHJFCAHP7CWJDEOM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGHBKHJFCAHP7C.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
